Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
"α-cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Submitted,Belgium,Active substance in Plant Protection Products,01-Sep-2025,0b0236e18a6e679d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6e679d"" target=""_blank"">Details</a>"
"Rosin, oligomers",500-163-2,65997-05-9,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6e5d7c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6e5d7c"" target=""_blank"">Details</a>"
"Rosin, maleated",232-480-4,8050-28-0,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18aaf7c5b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18aaf7c5b"" target=""_blank"">Details</a>"
"Rosin, hydrogenated",266-041-3,65997-06-0,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6e5949,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6e5949"" target=""_blank"">Details</a>"
"Rosin, fumarated",266-040-8,65997-04-8,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6e72ff,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6e72ff"" target=""_blank"">Details</a>"
"Rosin  A complex combination derived from wood, especially pine wood. Composed primarily of resin acids and modified resin acids such as dimers and decarboxylated resin acids. Includes rosin stabilized by catalytic disproportionation.",232-475-7,8050-09-7,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6d7207,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6d7207"" target=""_blank"">Details</a>"
"Resin acids and Rosin acids, maleated, esters with pentaerythritol",305-516-2,94581-17-6,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6d6829,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6d6829"" target=""_blank"">Details</a>"
"Resin acids and Rosin acids, fumarated, esters with glycerol",307-051-0,97489-11-7,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18aafde15,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18aafde15"" target=""_blank"">Details</a>"
"Fatty acids, tall-oil, oligomeric reaction products with maleic anhydride and rosin, calcium magnesium zinc salts",500-451-8,160901-14-4,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18a6e3fc8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6e3fc8"" target=""_blank"">Details</a>"
"Fatty acids, tall oil and rosin reacted with maleic anhydride",940-281-5,-,Consultation,Norway,Chemical registered under REACH,01-Sep-2025,0b0236e18c2314c7,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18c2314c7"" target=""_blank"">Details</a>"
"2-N-[(1R,2S)-2,6-dimethyl-2,3-dihydro-1H-inden-1-yl]-6-(1-fluoroethyl)-1,3,5-triazine-2,4-diamine",936-023-6,950782-86-2,Submitted,France,Active substance in Plant Protection Products,01-Sep-2025,0b0236e1890c5756,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1890c5756"" target=""_blank"">Details</a>"
"1,1,3,3-tetramethylbutyl peroxyneodecanoate",257-077-0,51240-95-0,Consultation,France,Chemical registered under REACH,01-Sep-2025,0b0236e18aa49d94,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18aa49d94"" target=""_blank"">Details</a>"
"(+/-) 2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazole-1-yl)propyl-1,1,2,2-tetrafluoroethylether  TETRACONAZOLE",407-760-6,112281-77-3,Consultation,France,Chemical registered under REACH Active substance in Plant Protection Products,01-Sep-2025,0b0236e18075daff,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18075daff"" target=""_blank"">Details</a>"
Titanium dioxide,236-675-5,13463-67-7,Opinion Adopted,France,Chemical registered under REACH,29-Aug-2025,0b0236e18c21935d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18c21935d"" target=""_blank"">Details</a>"
Antoferine (ISO); ethanol extract from wood of Vitis vinifera (Vitaceae),-,-,Submitted,Malta,Active substance in Plant Protection Products,26-Aug-2025,0b0236e18c300a64,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18c300a64"" target=""_blank"">Details</a>"
"(1S)-2,2-bis(4-fluorophenyl)-1-methylethyl N-{[3-(acetyloxy)-4-methoxy-2-pyridyl]carbonyl}-L-alaninate",837-247-6,1961312-55-9,Submitted,Denmark,Active substance in Plant Protection Products,26-Aug-2025,0b0236e182a60eb1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e182a60eb1"" target=""_blank"">Details</a>"
reaction products of boric acid with didecylamine and ethylene oxide,695-923-4,214710-34-6,Consultation,Greece,Active substance in Biocidal Products,25-Aug-2025,0b0236e189b3612b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189b3612b"" target=""_blank"">Details</a>"
3-aminopropyldimethylamine,203-680-9,109-55-7,Consultation,Austria,Chemical registered under REACH,25-Aug-2025,0b0236e187faa2f3,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187faa2f3"" target=""_blank"">Details</a>"
3-aminopropyldiethylamine,203-236-4,104-78-9,Consultation,Austria,Chemical registered under REACH,25-Aug-2025,0b0236e189b7bd86,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189b7bd86"" target=""_blank"">Details</a>"
