Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,237-159-2,13674-87-8,Submitted,Denmark,Chemical registered under REACH,19-Jun-2025,0b0236e180638b8c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180638b8c"" target=""_blank"">Details</a>"
Tetracopper hexahydroxide sulphate,215-582-3,1333-22-8,Opinion Adopted,France,Active substance in Biocidal Products,19-Jun-2025,0b0236e1806661ee,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806661ee"" target=""_blank"">Details</a>"
"spiroxamine (ISO); 8-tert-butyl-1,4-dioxaspiro[4.5]decan-2-ylmethyl(ethyl)(propyl)amine",601-505-4,118134-30-8,Opinion Adopted,Germany,Active substance in Plant Protection Products,19-Jun-2025,0b0236e18a4b8a42,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a4b8a42"" target=""_blank"">Details</a>"
Reaction products of phosphoryl trichloride and 2-methyloxirane,807-935-0,1244733-77-4,Submitted,Denmark,Chemical registered under REACH,19-Jun-2025,0b0236e189d8b1e9,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189d8b1e9"" target=""_blank"">Details</a>"
Phenyl(methylethylketoxime)silane,433-360-6,34036-80-1,Opinion Development,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e18bd7099c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bd7099c"" target=""_blank"">Details</a>"
Methyl 4-hydroxybenzoate,202-785-7,99-76-3,Intention,France,Chemical registered under REACH,19-Jun-2025,0b0236e180665794,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180665794"" target=""_blank"">Details</a>"
"Linalool; (S,R)-3,7-dimethyl-1,6-octadien-3-ol; dl-linalool Coriandrol; (S)-3,7-dimethyl-1,6-octadien-3-ol; d-linalool Licareol; (R)-3,7-dimethyl-1,6-octadien-3-ol; l-linalool  show/hide  Linalool  EC / List no: 201-134-4  | CAS no: 78-70-6  (R)-3,7-dimethyl-1,6-octadien-3-ol  EC / List no: 204-811-2  | CAS no: 126-91-0  (S)-3,7-dimethyl-1,6-octadien-3-ol  EC / List no: 204-810-7  | CAS no: 126-90-9",-,-,Opinion Adopted,Sweden,Chemical registered under REACH,19-Jun-2025,0b0236e1806215d1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806215d1"" target=""_blank"">Details</a>"
"fipronil (ISO); (±)-5-amino-1-(2,6-dichloro-α,α,α-trifluoro-para-tolyl)-4-trifluoromethylsulfinyl-pyrazole-3-carbonitrile",424-610-5,120068-37-3,Opinion Adopted,France,Active substance in Biocidal Products,19-Jun-2025,0b0236e18063520b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18063520b"" target=""_blank"">Details</a>"
Dicyclohexyl phthalate,201-545-9,84-61-7,Opinion Adopted,Sweden,Chemical registered under REACH,19-Jun-2025,0b0236e1806458f5,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806458f5"" target=""_blank"">Details</a>"
Dicopper chloride trihydroxide,215-572-9,1332-65-6,Opinion Adopted,France,Active substance in Plant Protection Products,19-Jun-2025,0b0236e18b38f5d3,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b38f5d3"" target=""_blank"">Details</a>"
"dibenzylbenzene, ar-methyl derivative; dibenzyltoluene  show/hide  Dibenzylbenzene, ar-methyl derivative  EC / List no: 258-649-2  | CAS no: 53585-53-8  Dibenzyltoluene  EC / List no: 248-097-0  | CAS no: 26898-17-9",-,-,Intention,Austria,Chemical registered under REACH,19-Jun-2025,0b0236e180646c9c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180646c9c"" target=""_blank"">Details</a>"
Copper flakes (coated with aliphatic acid),-,-,Opinion Adopted,France,Active substance in Plant Protection Products Active substance in Biocidal Products,19-Jun-2025,0b0236e180632523,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180632523"" target=""_blank"">Details</a>"
Carbetamide,240-286-6,16118-49-3,Opinion Adopted,France,Active substance in Plant Protection Products,19-Jun-2025,0b0236e1877c7994,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7994"" target=""_blank"">Details</a>"
"Benzophenone-3,3':4,4'-tetracarboxylic dianhydride",219-348-1,2421-28-5,Intention,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e180664dda,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180664dda"" target=""_blank"">Details</a>"
"A mixture of: isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-(n)-dodecylphenol; isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-(n)-tetracosylphenol; isomers of 2-(2H-benzotriazol-2-yl)-4-methyl-5,6-didodecyl-phenol. n=5 or 6  TINUVIN 171; TINUVIN 571",401-680-5,125304-04-3,Opinion Adopted,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e18a7065a9,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a7065a9"" target=""_blank"">Details</a>"
"A mixture of: cis-4-hydroxy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluoromethylbenzyloxy)phenyl)-1-naphthyl)coumarin; trans-4-hydroxy-3-(1,2,3,4-tetrahydro-3-(4-(4-trifluoromethylbenzyloxy)phenyl)-1-naphthyl)coumarin  FLOCOUMAFEN",421-960-0,90035-08-8,Consultation,Netherlands,Active substance in Biocidal Products,19-Jun-2025,0b0236e1877c7976,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7976"" target=""_blank"">Details</a>"
"4,4'-oxydiphthalic anhydride  ODPA",412-830-4,1823-59-2,Intention,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e1877c7688,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7688"" target=""_blank"">Details</a>"
"4,4'-biphthalic dianhydride",219-342-9,2420-87-3,Intention,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e180a0c00e,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0c00e"" target=""_blank"">Details</a>"
2-ethoxyethanol,203-804-1,110-80-5,Opinion Adopted,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e180635cb7,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180635cb7"" target=""_blank"">Details</a>"
2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide,251-899-3,34256-82-1,Opinion Adopted,Spain,Active substance in Plant Protection Products,19-Jun-2025,0b0236e18bc358f8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bc358f8"" target=""_blank"">Details</a>"
"2,4,8,10-tetra(tert-butyl)-6-hydroxy-12H-dibenzo[d,g][1,3,2]dioxaphosphocin 6-oxide, sodium salt; 2,4,8,10-tetra(tert-butyl)-6-hydroxy-12H-dibenzo-[d,g][1,3,2]dioxaphosphocin 6-oxide, lithium salt; hydroxy aluminium bis(2,4,8,10-tetra-tert-butyl-6-hydroxy-12H-dibenzo[d,g][1.3.2]dioxaphosphocin-6-oxide); 2,4,8,10-tetra(tert-butyl)-6-hydroxy-12H-dibenzo[d,g][1,3,2]dioxaphosphocin 6-oxide",-,-,Intention,Spain,Chemical registered under REACH,19-Jun-2025,0b0236e180621cf1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180621cf1"" target=""_blank"">Details</a>"
"2,3,5,6-Tetrafluoro-4-(methoxymethyl)benzyl (Z)-(1R,3R)-3-(2-cyanoprop-1-enyl)-2,2-dimethylcyclopropanecarboxylate; 1R-trans-Z-momfluorothrin",-,1065124-65-3,Opinion Adopted,United Kingdom,Active substance in Biocidal Products,19-Jun-2025,0b0236e187a8ba6c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187a8ba6c"" target=""_blank"">Details</a>"
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one  EC No. 216-133-4 and EC No. 244-240-6  show/hide  1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one  EC / List no: 244-240-6  | CAS no: 21145-77-7  1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one  EC / List no: 216-133-4  | CAS no: 1506-02-1",-,-,Opinion Development,Germany,Chemical registered under REACH,19-Jun-2025,0b0236e18a0ca4ef,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a0ca4ef"" target=""_blank"">Details</a>"
"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonic acid",206-793-1,375-73-5,Intention,Norway,Chemical registered under REACH,19-Jun-2025,0b0236e18bae8388,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bae8388"" target=""_blank"">Details</a>"
"vanadium tetrachloride; vanadium trichloride oxide; ammonium trioxovanadate; sodium metavanadate; potassium vanadium trioxide; Vanadate(1-), oxo[phosphato(3-)-kO]-, hydrogen, hydrate (2:1)  show/hide  Vanadium tetrachloride  EC / List no: 231-561-1  | CAS no: 7632-51-1  Vanadium trichloride oxide  EC / List no: 231-780-2  | CAS no: 7727-18-6  Vanadate(1-), oxo(phosphato(3-)-kappaO)-, hydrogen, hydrate (2:1)  EC / List no: 424-390-0  | CAS no: 93280-40-1  Sodium metavanadate  EC / List no: 237-272-7  | CAS no: 13718-26-8  Potassium vanadium trioxide  EC / List no: 237-388-8  | CAS no: 13769-43-2  Ammonium trioxovanadate  EC / List no: 232-261-3  | CAS no: 7803-55-6",-,-,Intention,France,Chemical registered under REACH,18-Jun-2025,0b0236e180631a40,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180631a40"" target=""_blank"">Details</a>"
Reaction products of paraformaldehyde with 2-hydroxypropylamine (ratio 1:1),-,-,Opinion Adopted,Austria,Active substance in Biocidal Products,18-Jun-2025,0b0236e18b25da74,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b25da74"" target=""_blank"">Details</a>"
Hydrogen chloride,231-595-7,7647-01-0,Submitted,Latvia,Chemical registered under REACH Active substance in Biocidal Products,18-Jun-2025,0b0236e180652c27,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180652c27"" target=""_blank"">Details</a>"
Dichlofluanid,214-118-7,1085-98-9,Opinion Adopted,United Kingdom,Active substance in Biocidal Products,18-Jun-2025,0b0236e1879a4c15,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1879a4c15"" target=""_blank"">Details</a>"
"4,4‘ –Sulfonyldiphthalic acid dianhydride",807-101-6,2540-99-0,Intention,Germany,Chemical registered under REACH,18-Jun-2025,0b0236e18a6d3d7d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a6d3d7d"" target=""_blank"">Details</a>"
Bromuconazole,408-060-3,116255-48-2,Consultation,Belgium,Active substance in Plant Protection Products,17-Jun-2025,0b0236e18add6d76,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18add6d76"" target=""_blank"">Details</a>"
Tralopyril,602-784-5,122454-29-9,Submitted,Norway,Active substance in Biocidal Products,16-Jun-2025,0b0236e189ef7cf6,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189ef7cf6"" target=""_blank"">Details</a>"
Sodium fluoride,231-667-8,7681-49-4,Submitted,France,Chemical registered under REACH,16-Jun-2025,0b0236e18a680a6b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a680a6b"" target=""_blank"">Details</a>"
"Reaction product of propylidynetrimethanol, propoxylated, reaction products with ammonia and 2,2-Dimethyl-3-(4-morpholinyl)propanal",700-879-7,-,Consultation,Belgium,Chemical registered under REACH,16-Jun-2025,0b0236e1892b821d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1892b821d"" target=""_blank"">Details</a>"
Mono- and di-phthalate esters with linear and/or branched alkyl moieties with at least one longest continuous carbon chain counted from the ester function corresponding to C4-C6 and/or with C6 cyclic saturated carbon chains and/or with unsaturated hydrocarbyl moieties,-,-,Submitted,France,Chemical registered under REACH,16-Jun-2025,0b0236e18bb5393a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18bb5393a"" target=""_blank"">Details</a>"
"Methyl 2-(4-(2,4-dichlorophenoxy)phenoxy)propionate",257-141-8,51338-27-3,Submitted,Portugal,Active substance in Plant Protection Products,16-Jun-2025,0b0236e187dde605,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187dde605"" target=""_blank"">Details</a>"
Melamine,203-615-4,108-78-1,Submitted,Germany,Chemical registered under REACH,16-Jun-2025,0b0236e18981f919,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18981f919"" target=""_blank"">Details</a>"
benzotriazole; sodium 1H-benzotriazolide; potassium 1H-benzotriazolide; and other inorganic salts,-,-,Submitted,Germany,Chemical registered under REACH,16-Jun-2025,0b0236e18a67e355,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a67e355"" target=""_blank"">Details</a>"
4-morpholinecarbaldehyde,224-518-3,4394-85-8,Consultation,Belgium,Chemical registered under REACH,16-Jun-2025,0b0236e188116743,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188116743"" target=""_blank"">Details</a>"
"3,5,5-trimethylhexanoic acid and its salts, with the exception of those specified elsewhere in this Annex  show/hide  Sodium 3,5,5-trimethylhexanoate  EC / List no: 220-169-6  | CAS no: 2650-30-8  3,5,5-trimethylhexanoic acid  EC / List no: 221-975-0  | CAS no: 3302-10-1  Potassium 3,5,5-trimethylhexanoate  EC / List no: 299-890-3  | CAS no: 93918-10-6  Calcium 3,5,5-trimethylhexanoate  EC / List no: 264-731-9  | CAS no: 64216-15-5  Zinc 3,5,5-trimethylhexanoate  EC / List no: 283-563-7  | CAS no: 84682-03-1",-,-,Submitted,Spain,Chemical registered under REACH,16-Jun-2025,0b0236e18b907746,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b907746"" target=""_blank"">Details</a>"
"2-ethylhexyl 10-ethyl-4,4-dimethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",260-829-0,57583-35-4,Submitted,Italy,Chemical registered under REACH,16-Jun-2025,0b0236e1877db255,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877db255"" target=""_blank"">Details</a>"
"2,4,6-tris(dimethylaminomethyl)phenol",202-013-9,90-72-2,Submitted,Germany,Chemical registered under REACH,16-Jun-2025,0b0236e18a67fc35,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a67fc35"" target=""_blank"">Details</a>"
"2,2-dimethyl-3-(morpholin-4-yl)propanal",700-569-1,23588-51-4,Consultation,Belgium,Chemical registered under REACH,16-Jun-2025,0b0236e189b9c67e,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189b9c67e"" target=""_blank"">Details</a>"
