Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Trichloromethylstannane,213-608-8,993-16-8,Opinion Adopted,France,Chemical registered under REACH,08-Jul-2025,0b0236e1806421f2,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806421f2"" target=""_blank"">Details</a>"
Terbuthylazine,227-637-9,5915-41-3,Opinion Adopted,United Kingdom,Active substance in Plant Protection Products,08-Jul-2025,0b0236e1806aeee1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806aeee1"" target=""_blank"">Details</a>"
"tefluthrin (ISO); 2,3,5,6-tetrafluoro-4-methylbenzyl (1RS,3RS)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropanecarboxylate",616-699-6,79538-32-2,Opinion Adopted,Germany,Active substance in Plant Protection Products,08-Jul-2025,0b0236e180a11805,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a11805"" target=""_blank"">Details</a>"
"reaction mass of N,N'-ethane-1,2-diylbis(hexanamide) and 12-hydroxy-N-[2-[(1-oxyhexyl)amino]ethyl]octadecanamide and N,N'-ethane-1,2-diylbis(12-hydroxyoctadecan amide)",432-430-3,-,Opinion Adopted,United Kingdom,Chemical registered under REACH,08-Jul-2025,0b0236e1858dcd15,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1858dcd15"" target=""_blank"">Details</a>"
Propyl 4-hydroxybenzoate,202-307-7,94-13-3,Opinion Adopted,Belgium,Chemical registered under REACH,08-Jul-2025,0b0236e180a0afe5,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0afe5"" target=""_blank"">Details</a>"
Nitric acid,231-714-2,7697-37-2,Opinion Adopted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e18326c589,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18326c589"" target=""_blank"">Details</a>"
"N,N-dimethyl-p-toluidine",202-805-4,99-97-8,Opinion Adopted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a1119b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a1119b"" target=""_blank"">Details</a>"
Methanol,200-659-6,67-56-1,Opinion Adopted,Italy,Chemical registered under REACH,08-Jul-2025,0b0236e180a0f885,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0f885"" target=""_blank"">Details</a>"
Mandipropamid,609-434-0,374726-62-2,Opinion Adopted,Austria,Active substance in Plant Protection Products,08-Jul-2025,0b0236e18ac6d578,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18ac6d578"" target=""_blank"">Details</a>"
hexythiazox (ISO); trans-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-3-thiazolidine-carboxamide,616-638-3,78587-05-0,Intention,Finland,Active substance in Plant Protection Products,08-Jul-2025,0b0236e180a12be4,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a12be4"" target=""_blank"">Details</a>"
Dodemorph acetate,250-778-2,31717-87-0,Opinion Adopted,Netherlands,Active substance in Plant Protection Products,08-Jul-2025,0b0236e18068853b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18068853b"" target=""_blank"">Details</a>"
"disodium 4-amino-6-[[4-(N-(4-((E)-(2,4-diaminophenyl)diazenyl)phenyl)sulfamoyl)phenyl)diazenyl)-5-hydroxy-3-((E)-(4-nitrophenyl)diazenyl)naphthalene-2,7-disulfonate",421-880-6,201792-73-6,Opinion Adopted,Italy,Chemical registered under REACH,08-Jul-2025,0b0236e180a10d22,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a10d22"" target=""_blank"">Details</a>"
Dimethenamid-P,605-329-9,163515-14-8,Opinion Adopted,Germany,Active substance in Plant Protection Products,08-Jul-2025,0b0236e1806531f1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1806531f1"" target=""_blank"">Details</a>"
Copper thiocyanate,214-183-1,1111-67-7,Opinion Adopted,France,Active substance in Biocidal Products,08-Jul-2025,0b0236e180657202,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180657202"" target=""_blank"">Details</a>"
Copper dihydroxide,243-815-9,20427-59-2,Opinion Adopted,France,Active substance in Plant Protection Products Active substance in Biocidal Products,08-Jul-2025,0b0236e180a0cf58,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0cf58"" target=""_blank"">Details</a>"
Chlorophacinone,223-003-0,3691-35-8,Opinion Adopted,Spain,Active substance in Plant Protection Products Active substance in Biocidal Products,08-Jul-2025,0b0236e1877c7994,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7994"" target=""_blank"">Details</a>"
"Benzophenone-3,3':4,4'-tetracarboxylic dianhydride",219-348-1,2421-28-5,Submitted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a11456,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a11456"" target=""_blank"">Details</a>"
"Amines, coco alkyl",262-977-1,61788-46-3,Opinion Adopted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a12a0b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a12a0b"" target=""_blank"">Details</a>"
"A mixture of: bis(2,2,6,6-tetramethyl-1-octyloxypiperidin-4-yl)-1,10-decanedioate; 1,8-bis[(2,2,6,6-tetramethyl-4-((2,2,6,6-tetramethyl-1-octyloxypiperidin-4-yl)-decan-1,10-dioyl)piperidin-1-yl)oxy]octane  TINUVIN 123",406-750-9,129757-67-1,Opinion Adopted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a0b45b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0b45b"" target=""_blank"">Details</a>"
4-tert-butylbenzoic acid,202-696-3,98-73-7,Opinion Adopted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a0c9e8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0c9e8"" target=""_blank"">Details</a>"
"4-Hexenoic acid, 6-(1,3-dihydro-4-hydroxy-6-methoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-, (4E)-, compd. with N,N-diethylethanamine (1:1)",613-922-9,66341-85-3,Withdrawn,Sweden,Chemical registered under REACH,08-Jul-2025,0b0236e1879a4c15,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1879a4c15"" target=""_blank"">Details</a>"
"4,4‘ –Sulfonyldiphthalic acid dianhydride",807-101-6,2540-99-0,Submitted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e1877c7976,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7976"" target=""_blank"">Details</a>"
"4,4'-oxydiphthalic anhydride  ODPA",412-830-4,1823-59-2,Submitted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e1877c7688,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877c7688"" target=""_blank"">Details</a>"
"4,4'-biphthalic dianhydride",219-342-9,2420-87-3,Submitted,Germany,Chemical registered under REACH,08-Jul-2025,0b0236e180a0ae26,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0ae26"" target=""_blank"">Details</a>"
"2,2-bis(chloromethyl)trimethylene bis(bis(2-chloroethyl)phosphate)",253-760-2,38051-10-4,Withdrawn,Ireland,Chemical registered under REACH,08-Jul-2025,0b0236e180a0df89,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0df89"" target=""_blank"">Details</a>"
(Z)-hexadec-11-enyl acetate,251-791-6,34010-21-4,Withdrawn,Austria,Active substance in Plant Protection Products,08-Jul-2025,0b0236e180a0ad36,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0ad36"" target=""_blank"">Details</a>"
Tris[2-chloro-1-(chloromethyl)ethyl] phosphate,237-159-2,13674-87-8,Opinion Adopted,Ireland,Chemical registered under REACH,07-Jul-2025,0b0236e180a10b51,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a10b51"" target=""_blank"">Details</a>"
Tricalcium diphosphide,215-142-0,1305-99-3,Opinion Adopted,Germany,Active substance in Plant Protection Products,07-Jul-2025,0b0236e180a0fecc,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e180a0fecc"" target=""_blank"">Details</a>"
Sulcotrione,619-394-6,99105-77-8,Opinion Adopted,Germany,Active substance in Plant Protection Products,07-Jul-2025,0b0236e189ef7cf6,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189ef7cf6"" target=""_blank"">Details</a>"
Sodium fluoride,231-667-8,7681-49-4,Submitted,France,Chemical registered under REACH,07-Jul-2025,0b0236e184f70c9f,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e184f70c9f"" target=""_blank"">Details</a>"
