Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Dioctyltin oxide,212-791-1,870-08-6,Intention,Austria,Chemical registered under REACH,03-juin-2025,0b0236e18b929ed1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b929ed1"" target=""_blank"">Details</a>"
Diisooctyl phthalate,248-523-5,27554-26-3,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e18b928a55,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b928a55"" target=""_blank"">Details</a>"
Diisohexyl phthalate,276-090-2,71850-09-4,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e18b928d80,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b928d80"" target=""_blank"">Details</a>"
Dihexyl phthalate,201-559-5,84-75-3,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e18b92a154,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b92a154"" target=""_blank"">Details</a>"
Dicyclohexyl phthalate,201-545-9,84-61-7,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e189bf3dbf,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189bf3dbf"" target=""_blank"">Details</a>"
Dichloro(dimethyl)silane,200-901-0,75-78-5,Intention,Sweden,Chemical registered under REACH,03-juin-2025,0b0236e18b929aad,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b929aad"" target=""_blank"">Details</a>"
Dibutyl phthalate,201-557-4,84-74-2,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e185f27ff4,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e185f27ff4"" target=""_blank"">Details</a>"
Clethodim,619-396-7,99129-21-2,Opinion Adopted,Sweden,Active substance in Plant Protection Products,03-juin-2025,0b0236e18baccdad,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18baccdad"" target=""_blank"">Details</a>"
Chlormequat chloride,213-666-4,999-81-5,Submitted,Austria,Active substance in Plant Protection Products,03-juin-2025,0b0236e18b92980a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b92980a"" target=""_blank"">Details</a>"
Bis(2-ethylhexyl) phthalate,204-211-0,117-81-7,Submitted,France,Chemical registered under REACH,03-juin-2025,0b0236e188e576b4,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e576b4"" target=""_blank"">Details</a>"
"Benzenamine, N-phenyl-, reaction products with 2,4,4-trimethylpentene",270-128-1,68411-46-1,Opinion Adopted,France,Chemical registered under REACH,03-juin-2025,0b0236e188649c73,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188649c73"" target=""_blank"">Details</a>"
"4-[2-[4-(1,1-dimethylethyl)phenyl]ethoxy]quinazoline  MAGISTER* F ACARICIDAL CHEMICAL",410-580-0,120928-09-8,Submitted,Germany,Active substance in Plant Protection Products,03-juin-2025,,
