Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Silver chloride,232-033-3,7783-90-6,Consultation,Sweden,Chemical registered under REACH Active substance in Biocidal Products,27-Apr-2026,0b0236e18b32e0f8?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b32e0f8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b32e0f8?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b32e0f8"" target=""_blank"">Details</a>"
N-ethyl-N-[2-[1-(2-methylpropoxy)ethoxy]ethyl]-4-(phenylazo)aniline,252-021-1,34432-92-3,Consultation,Germany,Chemical registered under REACH,27-Apr-2026,0b0236e18a8f8bf4?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a8f8bf4,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a8f8bf4?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a8f8bf4"" target=""_blank"">Details</a>"
"N'-(1,3-dimethylbutylidene)-3-hydroxy-2-naphthohydrazide",435-860-1,214417-91-1,Consultation,Poland,Chemical registered under REACH,27-Apr-2026,0b0236e18b63a8bc?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b63a8bc,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b63a8bc?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b63a8bc"" target=""_blank"">Details</a>"
Chloroethane,200-830-5,75-00-3,Consultation,France,Chemical registered under REACH,27-Apr-2026,0b0236e1888dd89f?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e1888dd89f,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1888dd89f?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e1888dd89f"" target=""_blank"">Details</a>"
"1-isopropyl-2,2-dimethyltrimethylene diisobutyrate",229-934-9,6846-50-0,Consultation,Norway,Chemical registered under REACH,27-Apr-2026,0b0236e18a2735f5?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a2735f5,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a2735f5?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a2735f5"" target=""_blank"">Details</a>"
Napropamide,239-333-3,15299-99-7,Opinion Adopted,Slovenia,Active substance in Plant Protection Products,24-Apr-2026,0b0236e18aa81e9c?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18aa81e9c,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18aa81e9c?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18aa81e9c"" target=""_blank"">Details</a>"
"Butyl 2,3-epoxypropyl ether",219-376-4,2426-08-6,Opinion Adopted,Sweden,Chemical registered under REACH,24-Apr-2026,0b0236e18956f352?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18956f352,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18956f352?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18956f352"" target=""_blank"">Details</a>"
Beflubutamid,601-267-1,113614-08-7,Opinion Adopted,Germany,Active substance in Plant Protection Products,24-Apr-2026,0b0236e18a618c94?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a618c94,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a618c94?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a618c94"" target=""_blank"">Details</a>"
"Allyl 2,3-epoxypropyl ether",203-442-4,106-92-3,Opinion Adopted,Sweden,Chemical registered under REACH,24-Apr-2026,0b0236e187907d7a?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e187907d7a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e187907d7a?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e187907d7a"" target=""_blank"">Details</a>"
5-methylhexan-2-one,203-737-8,110-12-3,Opinion Adopted,Finland,Chemical registered under REACH,24-Apr-2026,0b0236e18a0760ae?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a0760ae,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a0760ae?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18a0760ae"" target=""_blank"">Details</a>"
