Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
tert-butyl hydroperoxide,200-915-7,75-91-2,Intention,Netherlands,Chemical registered under REACH,16-Jun-2026,0b0236e18c533a2b?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18c533a2b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18c533a2b?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18c533a2b"" target=""_blank"">Details</a>"
Sodium 3-(allyloxy)-2-hydroxypropanesulphonate,258-004-5,52556-42-0,Intention,Germany,Chemical registered under REACH,16-Jun-2026,0b0236e18b32dea1?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b32dea1,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18b32dea1?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18b32dea1"" target=""_blank"">Details</a>"
N-(4-aminophenyl)aniline,202-951-9,101-54-2,Submitted,Belgium,Chemical registered under REACH,16-Jun-2026,0b0236e18d59848e?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18d59848e,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18d59848e?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18d59848e"" target=""_blank"">Details</a>"
"Formaldehyde, reaction products with tetrahydroimidazo[4,5-d]imidazole-2,5(1H,3H)-dione",296-651-5,92908-23-1,Submitted,Spain,Active substance in Biocidal Products,16-Jun-2026,0b0236e183bf910a?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e183bf910a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e183bf910a?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e183bf910a"" target=""_blank"">Details</a>"
"1,3-dioxolane",211-463-5,646-06-0,Withdrawn,MIDU,Chemical registered under REACH,16-Jun-2026,0b0236e185c27d0d?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e185c27d0d,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e185c27d0d?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e185c27d0d"" target=""_blank"">Details</a>"
γ-butyrolactone,202-509-5,96-48-0,Intention,Germany,Chemical registered under REACH,15-Jun-2026,0b0236e189817f42?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e189817f42,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e189817f42?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e189817f42"" target=""_blank"">Details</a>"
Tris[2-[2-(2-methoxyethoxy)ethoxy]ethyl] orthoborate,250-418-4,30989-05-0,Intention,Netherlands,Chemical registered under REACH,15-Jun-2026,0b0236e188e6e587?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e188e6e587,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e6e587?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e188e6e587"" target=""_blank"">Details</a>"
Trifluoroacetic acid,200-929-3,76-05-1,Opinion Adopted,Germany,Chemical registered under REACH,15-Jun-2026,0b0236e18d1aa7c9?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18d1aa7c9,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18d1aa7c9?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18d1aa7c9"" target=""_blank"">Details</a>"
Tri-allate,218-962-7,2303-17-5,Submitted,Netherlands,Active substance in Plant Protection Products,15-Jun-2026,0b0236e18ba5a67b?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18ba5a67b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18ba5a67b?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e18ba5a67b"" target=""_blank"">Details</a>"
Sulphuryl difluoride,220-281-5,2699-79-8,Opinion Development,Austria,Active substance in Plant Protection Products,15-Jun-2026,0b0236e186f854a5?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e186f854a5,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e186f854a5?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e186f854a5"" target=""_blank"">Details</a>"
Styrene,202-851-5,100-42-5,Intention,Netherlands,Chemical registered under REACH,15-Jun-2026,0b0236e188e8d4b8?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e188e8d4b8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e8d4b8?_disslists_WAR_disslistsportlet_businessIdentifier=0b0236e188e8d4b8"" target=""_blank"">Details</a>"
